student_id,school_type,state,grade_level,participation_rate,math_score,reading_score,attendance_rate
S001,Public,CA,9,0.58,64,67,0.88
S002,Public,CA,10,0.61,66,69,0.89
S003,Public,CA,11,0.63,68,70,0.90
S004,Public,CA,12,0.66,71,72,0.92
S005,Public,NY,9,0.57,63,66,0.87
S006,Public,NY,10,0.60,65,68,0.88
S007,Public,NY,11,0.64,69,71,0.90
S008,Public,NY,12,0.67,72,73,0.92
S009,Public,TX,9,0.55,62,65,0.86
S010,Public,TX,10,0.59,64,67,0.88
S011,Public,TX,11,0.62,67,69,0.89
S012,Public,TX,12,0.65,70,71,0.91
S013,Public,FL,9,0.56,63,66,0.87
S014,Public,FL,10,0.60,66,68,0.89
S015,Public,FL,11,0.63,68,70,0.90
S016,Public,FL,12,0.66,71,72,0.92
S017,Public,IL,9,0.57,64,66,0.88
S018,Public,IL,10,0.61,67,69,0.89
S019,Public,IL,11,0.64,69,71,0.91
S020,Public,IL,12,0.68,73,74,0.93
S021,Charter,CA,9,0.72,77,79,0.94
S022,Charter,CA,10,0.75,80,81,0.95
S023,Charter,CA,11,0.78,83,84,0.96
S024,Charter,CA,12,0.82,86,87,0.97
S025,Charter,NY,9,0.71,76,78,0.93
S026,Charter,NY,10,0.74,79,80,0.95
S027,Charter,NY,11,0.79,84,85,0.96
S028,Charter,NY,12,0.83,88,89,0.97
S029,Charter,TX,9,0.70,75,77,0.93
S030,Charter,TX,10,0.73,78,79,0.94
S031,Charter,TX,11,0.77,82,83,0.96
S032,Charter,TX,12,0.81,85,86,0.97
S033,Charter,FL,9,0.71,76,78,0.93
S034,Charter,FL,10,0.75,80,81,0.95
S035,Charter,FL,11,0.78,83,84,0.96
S036,Charter,FL,12,0.82,87,88,0.97
S037,Charter,IL,9,0.72,77,79,0.94
S038,Charter,IL,10,0.76,81,82,0.95
S039,Charter,IL,11,0.79,84,85,0.96
S040,Charter,IL,12,0.83,88,89,0.98
